1|3|1|2025-05-08T23:27:54.7628215|Daily|Approved
2|3|2|2025-05-09T09:50:23.2597427|Daily|Rejected
3|3|2|2025-05-09T10:19:36.6081134|Hourly|Pending
4|3|3|2025-05-09T12:05:23.6965131|Daily|Pending
5|5|1|2025-05-25T23:05:30.9183055|Daily|Approved
6|5|5|2025-05-25T23:05:41.4251869|Hourly|Approved
7|5|2|2025-05-25T23:09:32.8510529|Daily|Rejected
8|5|8|2025-05-25T23:09:38.6754859|Hourly|Rejected
9|5|7|2025-05-25T23:09:43.9660812|Daily|Rejected
10|7|1|2025-05-26T21:44:17.3293494|Daily|Approved
11|7|7|2025-05-26T21:47:06.8607742|Hourly|Approved
12|7|2|2025-05-27T10:52:35.9165803|Daily|Approved
13|6|1|2025-05-27T11:57:13.7296139|Daily|Approved
14|6|1|2025-05-27T12:16:11.898095|Daily|Rejected
15|6|7|2025-05-27T13:57:37.078953|Hourly|Approved
16|7|8|2025-05-27T14:11:22.6411898|Daily|Approved
17|6|8|2025-05-27T14:13:19.5408511|Daily|Pending
